field_name,data_type,null_percentage,minimum,maximum,example_value,endpoint,notes
detailed.xa_per_90_overall,float,0.0,0.03,0.06,0.03,player-stats,29/29 records populated
detailed.xa_per_game_overall,float,0.0,0.02,0.06,0.03,player-stats,29/29 records populated
detailed.xa_total_overall,float,0.0,0.03,2.92,0.03,player-stats,29/29 records populated
detailed.xg_per90_percentile_overall,int,3.4,9,88,43,player-stats,28/29 records populated
detailed.xg_per_90_overall,int,0.0,0,0,0,player-stats,29/29 records populated
detailed.xg_per_game_overall,int,0.0,0,0,0,player-stats,29/29 records populated
detailed.xg_total_overall,float|int,0.0,0,0.03,0,player-stats,29/29 records populated
ending_year,int,0.0,2019,2027,2027,player-stats,50/50 records populated
first_name,str,0.0,,,David,player-stats,50/50 records populated
full_name,str,0.0,,,David Raya Martin,player-stats,50/50 records populated
goals_away,int,0.0,0,0,0,player-stats,50/50 records populated
goals_home,int,0.0,0,0,0,player-stats,50/50 records populated
goals_involved_per_90_overall,int,0.0,0,0,0,player-stats,50/50 records populated
goals_overall,int,0.0,0,0,0,player-stats,50/50 records populated
goals_per_90_away,int,0.0,0,0,0,player-stats,50/50 records populated
goals_per_90_home,int,0.0,0,0,0,player-stats,50/50 records populated
goals_per_90_overall,int,0.0,0,0,0,player-stats,50/50 records populated
height,int,0.0,183,186,186,player-stats,50/50 records populated
id,int,0.0,7235,7235,7235,player-stats,50/50 records populated
known_as,str,0.0,,,David Raya,player-stats,50/50 records populated
last_match_timestamp,int,0.0,0,1787338800,1787338800,player-stats,50/50 records populated
last_name,str,0.0,,,Raya Martin,player-stats,50/50 records populated
league,str,0.0,,,Premier League,player-stats,50/50 records populated
league_type,str,0.0,,,Domestic League,player-stats,50/50 records populated
min_per_assist_overall,int,0.0,0,0,0,player-stats,50/50 records populated
min_per_card_overall,int,0.0,0,4050,0,player-stats,50/50 records populated
min_per_conceded_overall,int,0.0,0,252,0,player-stats,50/50 records populated
min_per_goal_overall,int,0.0,0,0,0,player-stats,50/50 records populated
min_per_match,int,0.0,0,90,90,player-stats,50/50 records populated
minutes_played_away,int,0.0,0,2160,0,player-stats,50/50 records populated
minutes_played_home,int,0.0,0,2250,90,player-stats,50/50 records populated
minutes_played_overall,int,0.0,0,4410,90,player-stats,50/50 records populated
national_team_id,int,0.0,0,0,0,player-stats,50/50 records populated
nationality,str,0.0,,,Spain,player-stats,50/50 records populated
penalty_goals,int,0.0,0,0,0,player-stats,50/50 records populated
penalty_misses,int,0.0,0,0,0,player-stats,50/50 records populated
penalty_success,int,0.0,-1,-1,-1,player-stats,50/50 records populated
position,str,0.0,,,Goalkeeper,player-stats,50/50 records populated
rank_in_club_top_scorer,int,0.0,-1,37,4,player-stats,50/50 records populated
rank_in_league_top_attackers,int,0.0,-1,738,-1,player-stats,50/50 records populated
rank_in_league_top_defenders,int,0.0,-1,51,-1,player-stats,50/50 records populated
rank_in_league_top_midfielders,int,0.0,-1,738,-1,player-stats,50/50 records populated
red_cards_overall,int,0.0,0,0,0,player-stats,50/50 records populated
season,str,0.0,,,2026/2027,player-stats,50/50 records populated
shorthand,str,0.0,,,david-raya,player-stats,50/50 records populated
starting_year,int,0.0,2018,2026,2026,player-stats,50/50 records populated
url,str,0.0,,,https://footystats.org/players/spain/david-raya,player-stats,50/50 records populated
weight,int,0.0,80,80,80,player-stats,50/50 records populated
yellow_cards_overall,int,0.0,0,3,0,player-stats,50/50 records populated
data,str,0.0,,,Successful Test Call,test-call,1/1 records populated
message,str,0.0,,,Usage of the API is bound to our Terms of Use : https://foot,test-call,1/1 records populated
metadata.request_limit,str,0.0,,,1800,test-call,1/1 records populated
metadata.request_limit_refresh_next,int,0.0,1788027054,1788027054,1788027054,test-call,1/1 records populated
metadata.request_remaining,str,0.0,,,1786,test-call,1/1 records populated
metadata.request_reset_message,str,0.0,,,Request limit is refreshed every hour.,test-call,1/1 records populated
pager.current_page,int,0.0,1,1,1,test-call,1/1 records populated
pager.max_page,int,0.0,1,1,1,test-call,1/1 records populated
pager.results_per_page,int,0.0,50,50,50,test-call,1/1 records populated
pager.total_results,int,0.0,1,1,1,test-call,1/1 records populated
success,bool,0.0,,,True,test-call,1/1 records populated
